site_id,latitude,longitude,name,postcode,suburb,display_brand,brand
61401386,-27.459076,152.998383,Bizzells Garage Paddington,4064,"Rosalie, Baroona, Paddington, Milton Bc, Milton",⛽ Independent,Independent
61401391,-27.478292616581157,152.98579629447744,Ampol Foodary Toowong,4066,"Toowong Bc, Mount Coot-Tha, Toowong, Stuartholme, Torwood, Toowong Dc, Auchenflower",🔴 Ampol,Ampol
61401393,-27.473913230061896,153.00392841104505,Shell Reddy Express Milton,4064,"Rosalie, Baroona, Paddington, Milton Bc, Milton",🟡 Shell,Shell
61401398,-27.542090460066003,153.082005,Shell Reddy Express Mount Gravatt,4122,"Mount Gravatt East, Upper Mount Gravatt, Mansfield, Mount Gravatt, Upper Mount Gravatt Bc, Mansfield Dc, Mansfield Bc, Wishart",🟡 Shell,Shell
61401399,-27.531577,153.093146,7-Eleven Mt Gravatt East,4122,"Mount Gravatt East, Upper Mount Gravatt, Mansfield, Mount Gravatt, Upper Mount Gravatt Bc, Mansfield Dc, Mansfield Bc, Wishart",🟠 7-Eleven,7-Eleven
61401409,-27.548071,153.265178,Metro Petroleum Thornlands,4164,"Pinklands, Thornlands",⛽ Independent,Independent
61401411,-27.536514,152.941898,Ampol Foodary Jindalee,4074,"Sumner Park Bc, Westlake, Mount Ommaney, Jamboree Heights, Sumner, Riverhills, Jindalee, Middle Park",🔴 Ampol,Ampol
61401413,-27.556355,152.914572,BP Riverhills,4074,"Sumner Park Bc, Westlake, Mount Ommaney, Jamboree Heights, Sumner, Riverhills, Jindalee, Middle Park",🟢 BP,BP
61401417,-27.553377,152.979052,BP Oxley,4075,"Corinda, Oxley, Graceville East, Graceville, Sherwood",🟢 BP,BP
61401421,-27.577748,152.973748,Freedom Fuels Inala,4077,"Inala West, Inala East, Inala, Serviceton, Richlands Dc, Richlands Bc, Durack, Inala Heights, Doolandella, Richlands",⛽ Independent,Independent
61401422,-27.579387,152.974637,7-Eleven Durack,4077,"Inala West, Inala East, Inala, Serviceton, Richlands Dc, Richlands Bc, Durack, Inala Heights, Doolandella, Richlands",🟠 7-Eleven,7-Eleven
61401426,-27.558051,153.015628,Shell Reddy Express Granard Rd,4106,"Rocklea Dc, Rocklea, Brisbane Market",🟡 Shell,Shell
61401427,-27.558117,153.006258,Pacific Fuel Solutions Rocklea,4106,"Rocklea Dc, Rocklea, Brisbane Market",⛽ Independent,Independent
61401428,-27.560256,153.000988,Shell Reddy Express Rocklea,4106,"Rocklea Dc, Rocklea, Brisbane Market",🟡 Shell,Shell
61401431,-27.545888,153.038591,NightOwl BP Salisbury,4107,"Salisbury, Salisbury East",🟢 BP,BP
