site_id,price_cpl,reported_at,name,latitude,longitude,brand_id,postcode,region,state,scraped_at
61478046,216.5,2026-09-17T19:16:38,Pearl Energy Rothwell,-27.21672197626366,153.04587229926682,3421139,4022,North,QLD,2026-09-18 15:24:48
61401348,224.9,2026-09-17T19:17:21.47,U-Go Lutwyche,-27.425953,153.032041,3421183,4030,North,QLD,2026-09-18 15:24:48
61401620,227.5,2026-09-17T19:17:21.47,U-Go Loganholme,-27.663087497535884,153.17983496197124,3421183,4129,South,QLD,2026-09-18 15:24:48
61401292,224.9,2026-09-17T19:17:21.47,U-Go West Chermside,-27.37991815990408,153.02246784540367,3421183,4032,North,QLD,2026-09-18 15:24:48
61401359,243.9,2026-09-17T19:17:21.47,Ampol Eagle Farm,-27.434674,153.079056,3421066,4009,North,QLD,2026-09-18 15:24:48
61401500,237.9,2026-09-17T19:17:21.47,Ampol Foodary Booval,-27.613641,152.792314,3421066,4304,South,QLD,2026-09-18 15:24:48
61401142,224.9,2026-09-17T19:17:21.47,Ampol Foodary Colmslie,-27.466503,153.079198,3421066,4170,North,QLD,2026-09-18 15:24:48
61401197,219.5,2026-09-17T19:17:21.47,U-Go Rocklea,-27.538641,153.005432,3421183,4106,South,QLD,2026-09-18 15:24:48
61401748,233.4,2026-09-17T19:17:21.47,Ampol Foodary Hyperdome,-27.659537,153.168904,3421066,4128,South,QLD,2026-09-18 15:24:48
61477946,243.9,2026-09-17T19:17:21.487,Ampol Foodary Hendra,-27.410275,153.072089,3421066,4011,North,QLD,2026-09-18 15:24:48
61477742,224.4,2026-09-17T19:17:21.487,Ampol Foodary Ripley,-27.657134,152.778673,3421066,4306,South,QLD,2026-09-18 15:24:48
61401682,241.9,2026-09-17T19:22:18.163,Ampol Foodary Blacksoil,-27.579766,152.716439,3421066,4306,South,QLD,2026-09-18 15:24:48
61401291,243.9,2026-09-17T19:22:18.163,Ampol Foodary Nundah,-27.398473,153.059252,3421066,4012,North,QLD,2026-09-18 15:24:48
61401683,240.9,2026-09-17T19:22:18.163,Ampol Foodary Burpengary,-27.156263,152.977055,3421066,4505,North,QLD,2026-09-18 15:24:48
61401183,226.9,2026-09-17T19:22:18.163,Ampol Foodary Annerley,-27.512236,153.032024,3421066,4103,South,QLD,2026-09-18 15:24:48
61401772,233.9,2026-09-17T19:22:18.163,Ampol Foodary Slacks Creek,-27.640701,153.131201,3421066,4127,South,QLD,2026-09-18 15:24:48
61401229,239.9,2026-09-17T19:22:18.163,Ampol Foodary Redcliffe,-27.229577,153.102033,3421066,4020,North,QLD,2026-09-18 15:24:48
61401411,239.9,2026-09-17T19:22:18.163,Ampol Foodary Jindalee,-27.536514,152.941898,3421066,4074,South,QLD,2026-09-18 15:24:48
61401754,232.9,2026-09-17T19:22:18.163,Ampol Foodary Wishart,-27.548472,153.107989,3421066,4122,South,QLD,2026-09-18 15:24:48
61401441,223.9,2026-09-17T19:23:00,7-Eleven Acacia Ridge,-27.589068,153.027286,113,4110,South,QLD,2026-09-18 15:24:48
61401457,239.9,2026-09-17T19:23:00,7-Eleven North Ipswich,-27.603119,152.761629,113,4305,South,QLD,2026-09-18 15:24:48
61401460,239.9,2026-09-17T19:23:00,7-Eleven Dinmore,-27.598004,152.832107,113,4303,South,QLD,2026-09-18 15:24:48
61477979,233.9,2026-09-17T19:23:00,7-Eleven Eden's Crossing,-27.668754,152.842579,113,4301,South,QLD,2026-09-18 15:24:48
61477675,240.9,2026-09-17T19:23:00,7-Eleven Loganlea,-27.687281,153.137458,113,4131,South,QLD,2026-09-18 15:24:48
61401588,239.9,2026-09-17T19:23:00,7-Eleven Victoria Point,-27.584259,153.281142,113,4165,South,QLD,2026-09-18 15:24:48
61477685,229.9,2026-09-17T19:23:00,7-Eleven Dakabin,-27.232713,152.992111,113,4503,North,QLD,2026-09-18 15:24:48
61477974,235.9,2026-09-17T19:23:00,7-Eleven Regents Park,-27.688181,153.037662,113,4118,South,QLD,2026-09-18 15:24:48
61477720,231.9,2026-09-17T19:23:00,7-Eleven Salisbury,-27.544513,153.039614,113,4107,South,QLD,2026-09-18 15:24:48
61477855,235.9,2026-09-17T19:23:00,7-Eleven Mango Hill,-27.243654,153.025408,113,4509,North,QLD,2026-09-18 15:24:48
61402231,236.9,2026-09-17T19:23:00,7-Eleven Silkstone,-27.621151,152.787974,113,4304,South,QLD,2026-09-18 15:24:48
61477752,229.9,2026-09-17T19:23:00,7-Eleven Logan Reserve,-27.696584,153.102784,113,4133,South,QLD,2026-09-18 15:24:48
61477786,239.9,2026-09-17T19:23:00,7-Eleven Kallangur,-27.251764,152.991435,113,4503,North,QLD,2026-09-18 15:24:48
61401479,232.9,2026-09-17T19:23:00,7-Eleven Woodridge,-27.619142,153.104903,113,4114,South,QLD,2026-09-18 15:24:48
61401477,235.9,2026-09-17T19:23:00,7-Eleven Springwood,-27.61011953521952,153.12405772883605,113,4127,South,QLD,2026-09-18 15:24:48
61477091,237.9,2026-09-17T19:23:00,7-Eleven North Lakes,-27.220937,152.999794,113,4509,North,QLD,2026-09-18 15:24:48
61402208,229.9,2026-09-17T19:23:00,7-Eleven Bracken Ridge,-27.330901,153.025787,113,4017,North,QLD,2026-09-18 15:24:48
61477140,233.9,2026-09-17T19:23:00,7-Eleven Deception Bay,-27.196842,153.015639,113,4508,North,QLD,2026-09-18 15:24:48
61477143,229.9,2026-09-17T19:23:00,7-Eleven Taigum,-27.342366,153.041502,113,4018,North,QLD,2026-09-18 15:24:48
61402350,223.9,2026-09-17T19:23:00,7-Eleven Coopers Plains,-27.563861,153.039813,113,4108,South,QLD,2026-09-18 15:24:48
61401264,233.9,2026-09-17T19:23:00,7-Eleven Aspley,-27.358443,153.017037,113,4034,North,QLD,2026-09-18 15:24:48
61401914,233.9,2026-09-17T19:23:00,7-Eleven Albany Creek,-27.363889718122927,153.01311577315525,113,4034,North,QLD,2026-09-18 15:24:48
61401250,233.9,2026-09-17T19:23:00,7-Eleven Bald Hills,-27.319376,153.006967,113,4036,North,QLD,2026-09-18 15:24:48
61401249,235.9,2026-09-17T19:23:00,7-Eleven Eatons Hill,-27.337933,152.960099,113,4037,North,QLD,2026-09-18 15:24:48
61401868,233.9,2026-09-17T19:23:00,7-Eleven Morayfield,-27.112363,152.950651,113,4506,North,QLD,2026-09-18 15:24:48
61401276,229.9,2026-09-17T19:23:00,7-Eleven Aspley,-27.364758,153.026257,113,4034,North,QLD,2026-09-18 15:24:48
61402101,231.9,2026-09-17T19:23:00,7-Eleven Pinelands Road,-27.591492,153.060381,113,4109,South,QLD,2026-09-18 15:24:48
61401177,229.9,2026-09-17T19:23:00,7-Eleven Graceville,-27.521931,152.980164,113,4075,South,QLD,2026-09-18 15:24:48
61478231,233.9,2026-09-17T19:23:00,7-Eleven Kedron,-27.39863917071317,153.03197252883606,113,4031,North,QLD,2026-09-18 15:24:48
61478233,239.9,2026-09-17T19:23:00,7-Eleven Chuwar,-27.57247896542318,152.79030419172994,113,4306,South,QLD,2026-09-18 15:24:48
61402404,237.9,2026-09-17T19:23:00,7-Eleven Clontarf,-27.260601,153.080001,113,4019,North,QLD,2026-09-18 15:24:48
61478114,237.9,2026-09-17T19:23:00,7-Eleven Mount Gravatt,-27.53565350399373,153.07665807073778,113,4122,South,QLD,2026-09-18 15:24:48
61478106,228.9,2026-09-17T19:23:00,7-Eleven Cornubia,-27.670202149976504,153.20282614329264,113,4130,South,QLD,2026-09-18 15:24:48
61478089,222.9,2026-09-17T19:23:00,7-Eleven Brisbane East,-27.488400458163543,153.04863777560195,113,4169,South,QLD,2026-09-18 15:24:48
61478030,229.9,2026-09-17T19:23:00,7-Eleven Eight Mile Plains Northbound,-27.573523,153.090669,113,4113,South,QLD,2026-09-18 15:24:48
61401399,235.9,2026-09-17T19:23:00,7-Eleven Mt Gravatt East,-27.531577,153.093146,113,4122,South,QLD,2026-09-18 15:24:48
61401723,231.9,2026-09-17T19:27:18.57,Ampol Foodary Capalaba,-27.531502,153.197563,3421066,4157,South,QLD,2026-09-18 15:24:48
61401744,234.9,2026-09-17T19:27:18.57,Ampol Foodary Sumner Park,-27.560198,152.935835,3421066,4074,South,QLD,2026-09-18 15:24:48
61401514,244.9,2026-09-17T19:27:18.57,Ampol Foodary Waterford,-27.691549,153.134431,3421066,4133,South,QLD,2026-09-18 15:24:48
61401258,234.9,2026-09-17T19:29:19.15,BP Bracken Ridge,-27.330999,153.041854,5,4017,North,QLD,2026-09-18 15:24:48
61401881,236.9,2026-09-17T19:32:17.48,Ampol Foodary Rochedale,-27.595176,153.121695,3421066,4123,South,QLD,2026-09-18 15:24:48
